"","Name","FeatureType","TownFlowType","SHAPESTLength"
"96","Little Beaver Creek","STREAM","perennial",201.494564405061
"97","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1897.0923859527
"98","Little Beaver Creek","STREAM","perennial",1548.94551489157
"99","Little Beaver Creek","STREAM","perennial",251.053386364755
"100","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1365.81578159378
"101","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4930.32591418072
"102","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1169.99681386092
"103","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1237.51451036131
"104","Little Beaver Creek","STREAM","intermittent",1293.45154103913
"105","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1579.75530707268
"106","Little Beaver Creek","STREAM","intermittent",516.285186061801
"107","Little Beaver Creek","STREAM","intermittent",149.699887682025
"108","Little Beaver Creek","STREAM","intermittent",1943.58309605634
"109","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1785.34798669109
"110","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3350.77642391684
"111","B Everett Jordan Lake","LAKE FLOWLINE","N/A",690.308569848083
"112","B Everett Jordan Lake","LAKE FLOWLINE","N/A",5164.40189171749
"113","Little Beaver Creek","STREAM","intermittent",4974.56725588879
"114","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3587.93146520589
"115","B Everett Jordan Lake","LAKE FLOWLINE","N/A",859.788012934391
"116","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2478.14053656159
"117","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2586.99265128318
"118","B Everett Jordan Lake","LAKE FLOWLINE","N/A",587.789859510095
"119","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2058.65018548144
"120","B Everett Jordan Lake","LAKE FLOWLINE","N/A",5579.65284918208
"121","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1801.98774846532
"122","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1854.00847150314
"123","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2374.84450096053
"124","Reedy Branch","STREAM","intermittent",699.531456776411
"125","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1205.24738878241
"126","B Everett Jordan Lake","LAKE FLOWLINE","N/A",918.658911067489
"127","Herndon Creek","STREAM","perennial",851.010032524795
"128","Herndon Creek","STREAM","perennial",8357.53654733384
"129","Panther Creek","STREAM","perennial",625.170900339628
"130","Cub Creek","STREAM","perennial",552.28825034181
"131","Kit Creek","STREAM","perennial",1714.88983683198
"132","Cub Creek","STREAM","perennial",417.480798488077
"133","Kit Creek","STREAM","perennial",3766.54401698895
"134","Morgan Creek","STREAM CENTERLINE","perennial",350.703269953422
"135","Crooked Creek","STREAM","perennial",565.236941272094
"136","Morgan Creek","STREAM CENTERLINE","perennial",719.533985918745
"137","University Lake","LAKE FLOWLINE","N/A",587.487470453718
"138","Neville Creek","STREAM","perennial",1809.69337966885
"139","New Hope Creek","STREAM CENTERLINE","perennial",620.932723883046
"140","Morgan Creek","STREAM CENTERLINE","perennial",612.307464836799
"141","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2756.34288237062
"142","B Everett Jordan Lake","LAKE FLOWLINE","N/A",562.620056999329
"143","Beaver Creek","STREAM","perennial",11.6222856283245
"144","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1587.39772709893
"145","Beaver Creek","STREAM","perennial",715.164584975511
"146","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1230.57270095592
"147","Reedy Branch","STREAM","perennial",1066.34434417584
"148","Reedy Branch","STREAM","perennial",12.1734614780897
"149","Beaver Creek","STREAM","perennial",948.301898099138
"150","Reedy Branch","STREAM","perennial",1250.6288127914
"151","B Everett Jordan Lake","LAKE FLOWLINE","N/A",721.545712256339
"152","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1221.14292627295
"153","Beaver Creek","STREAM","perennial",680.440210430972
"154","Reedy Branch","STREAM","perennial",722.691143598433
"155","White Oak Creek","STREAM","perennial",454.807539123917
"156","Mill Branch","STREAM","perennial",3521.24151068008
"157","White Oak Creek","STREAM","perennial",2964.59011510138
"158","White Oak Creek","STREAM","perennial",982.431694147509
"159","Rocky Ford Branch","STREAM","perennial",1883.21955441374
"160","Jack Branch","STREAM","perennial",2397.31812405913
"161","Folkner Branch","STREAM","perennial",1892.80081687201
"162","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4925.53317732463
"163","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1040.63605440395
"164","Folkner Branch","STREAM","intermittent",1118.46953074746
